application_id,filing_year,tech_domain,applicant_type,country_origin,industry_sector,international_filing,prior_examination,commercial_potential,market_size_estimate,processing_fee_usd,number_of_claims,number_of_citations,complexity_level,examiner_load,novelty_score,grant_probability,office_action_count
PAT-2000-059,2020,ai_ml,2,CHN,healthtech,False,1,Yes,253.57,8982.07,35,45,3,Medium,Moderate,Low,4
PAT-2000-060,2020,ai_ml,3,GBR,fintech,False,1,Yes,33.04,9266.66,22,31,3,High,Moderate,Medium,2
PAT-2000-061,2023,cybersecurity,3,USA,software,False,0,Yes,33.22,854.75,11,19,1,Medium,Significant,Low,1
PAT-2000-062,2022,ai_ml,2,DEU,fintech,True,1,Yes,67.73,6604.11,21,43,3,Medium,Moderate,High,3
PAT-2000-063,2022,iot,1,USA,hardware,True,1,Yes,264.09,3360.48,11,16,2,Medium,Marginal,Very Low,1
PAT-2000-064,2023,ai_ml,2,USA,healthtech,True,0,Yes,17.26,1315.34,34,16,2,Low,Moderate,High,1
PAT-2000-065,2023,blockchain,3,RUS,fintech,True,1,Yes,9.31,5158.76,5,28,1,Medium,Moderate,Medium,0
PAT-2000-066,2022,cybersecurity,3,USA,telecom,False,1,No,6.04,3125.64,14,24,3,Medium,Moderate,Low,1
PAT-2000-067,2022,iot,1,USA,hardware,True,0,No,6.98,3137.68,19,10,1,Medium,Marginal,Very Low,0
PAT-2000-068,2021,cybersecurity,4,USA,software,False,1,No,14.92,4191.31,27,21,1,Low,Moderate,Low,2
PAT-2000-069,2020,ai_ml,2,JPN,software,False,1,Yes,130.99,9518.29,44,34,2,Medium,Moderate,High,0
PAT-2000-070,2022,iot,1,CHN,hardware,False,1,Yes,459.2,1810.61,14,25,3,High,Moderate,Low,4
PAT-2000-071,2021,cybersecurity,3,USA,software,True,1,Yes,64.57,1704.68,8,14,1,High,Breakthrough,Very High,3
PAT-2000-072,2022,blockchain,2,CHN,fintech,False,1,Yes,124.9,8404.97,19,27,2,Low,Marginal,Very Low,3
PAT-2000-073,2024,ai_ml,2,USA,hardware,True,1,Yes,236.23,5102.34,32,46,2,Medium,Significant,Medium,4
PAT-2000-074,2021,cybersecurity,3,USA,software,False,0,No,10.39,2345.42,18,9,3,Low,Moderate,Medium,3
PAT-2000-075,2020,blockchain,3,USA,fintech,False,0,Yes,120.75,7783.91,7,8,2,High,Marginal,Very Low,3
PAT-2000-076,2021,iot,4,IND,hardware,False,0,Yes,52.49,8037.25,9,11,1,Medium,Moderate,Medium,1
PAT-2000-077,2021,cybersecurity,3,USA,fintech,True,1,Yes,134.89,1887.13,17,27,1,Medium,Moderate,Low,0
PAT-2000-078,2023,ai_ml,1,GBR,healthtech,False,1,Yes,480.88,3915.84,49,46,3,Medium,Moderate,Low,3
PAT-2000-079,2022,ai_ml,1,USA,software,False,1,No,4.61,5369.99,20,31,2,Low,Significant,Medium,1
PAT-2000-080,2023,ai_ml,3,IND,healthtech,True,1,Yes,53.81,8204.63,40,51,2,Low,Significant,Very High,1
PAT-2000-081,2023,blockchain,3,RUS,fintech,True,1,Yes,68.39,6389.27,16,26,2,Medium,Marginal,Very Low,2
PAT-2000-082,2022,ai_ml,2,JPN,software,True,1,No,2.97,5717.32,34,34,3,Medium,Moderate,High,2
PAT-2000-083,2023,iot,4,USA,hardware,True,1,Yes,436.85,9865.99,8,27,1,Low,Breakthrough,Very High,1
PAT-2000-084,2021,ai_ml,3,USA,software,False,0,No,20.67,4736.57,25,27,3,Low,Moderate,High,4
PAT-2000-085,2020,iot,1,CHN,software,False,1,No,48.16,3148.28,15,32,1,High,Significant,High,4
PAT-2000-086,2020,ai_ml,1,USA,software,True,0,No,5.33,6055.81,23,15,3,High,Breakthrough,Medium,6
PAT-2000-087,2023,blockchain,4,USA,telecom,False,0,No,54.21,8234.31,17,9,2,Medium,Marginal,Low,3
PAT-2000-088,2022,ai_ml,3,USA,fintech,False,1,Yes,71.24,1211.69,40,25,3,Low,Moderate,High,4
PAT-2000-089,2021,iot,3,IND,hardware,True,1,Yes,427.4,3278.04,12,22,2,Low,Marginal,Very Low,3
PAT-2000-090,2022,blockchain,4,DEU,software,False,0,Yes,71.83,9854.84,7,9,3,Low,Marginal,Low,5
PAT-2000-091,2021,blockchain,4,RUS,software,False,0,No,17.68,3414.28,5,10,3,High,Moderate,Medium,5
PAT-2000-092,2023,cybersecurity,4,USA,software,False,1,Yes,500.0,7719.91,17,19,3,Medium,Moderate,Low,3
PAT-2000-093,2022,iot,2,KOR,hardware,False,1,Yes,500.0,2947.13,12,32,2,Low,Significant,High,1
PAT-2000-094,2022,ai_ml,2,USA,software,False,1,No,37.94,9784.15,15,34,2,High,Significant,Medium,2
PAT-2000-095,2021,cybersecurity,3,USA,telecom,False,0,Yes,104.91,6560.7,19,14,2,Low,Moderate,Medium,1
PAT-2000-096,2023,ai_ml,1,KOR,software,True,0,No,37.69,991.63,20,16,3,Medium,Moderate,Low,1
PAT-2000-097,2022,ai_ml,3,GBR,software,False,1,Yes,88.48,627.85,33,43,3,Low,Marginal,Very Low,4
PAT-2000-098,2020,blockchain,2,USA,fintech,False,0,Yes,45.11,8073.13,15,11,2,Medium,Marginal,Very Low,3
PAT-2000-099,2020,ai_ml,3,IND,software,True,0,No,13.46,5369.54,26,18,2,Medium,Moderate,High,1
PAT-2000-100,2024,ai_ml,2,CHN,healthtech,False,1,No,41.05,3647.79,26,33,2,Medium,Moderate,Medium,4
PAT-2000-101,2024,iot,2,JPN,healthtech,True,1,Yes,122.42,9622.3,26,31,2,Low,Moderate,Low,1
PAT-2000-102,2023,ai_ml,1,USA,software,True,0,No,113.82,1627.55,37,18,3,High,Significant,Medium,4
PAT-2000-103,2021,quantum,2,USA,cybersecurity,True,1,Yes,112.43,6415.1,42,25,2,Medium,Significant,High,2
PAT-2000-104,2024,cybersecurity,3,IND,telecom,True,1,Yes,64.45,564.38,20,28,1,Low,Moderate,High,1
PAT-2000-105,2023,iot,2,KOR,hardware,False,0,Yes,500.0,643.79,14,9,1,Low,Marginal,Very Low,0
PAT-2000-106,2023,iot,3,CHN,software,False,1,Yes,368.2,9817.91,27,24,1,Low,Marginal,Very Low,0
PAT-2000-107,2022,iot,4,RUS,software,False,1,No,68.27,5208.77,25,27,2,Medium,Significant,High,2
PAT-2000-108,2021,cybersecurity,3,GBR,software,False,1,Yes,29.78,8437.9,20,28,1,High,Marginal,Very Low,3
PAT-2000-109,2020,ai_ml,1,DEU,software,True,1,Yes,405.08,1334.38,41,36,2,Low,Significant,Very High,2
PAT-2000-110,2024,ai_ml,2,KOR,fintech,True,1,No,22.4,1332.91,42,31,2,Medium,Moderate,Medium,5
PAT-2000-111,2022,iot,1,KOR,hardware,False,0,No,29.21,7525.04,20,12,3,Medium,Moderate,Low,1
PAT-2000-112,2021,iot,2,KOR,hardware,True,1,No,8.15,1564.21,27,18,2,Low,Significant,Medium,3
PAT-2000-113,2021,ai_ml,1,USA,software,True,0,Yes,17.37,8919.37,29,9,2,High,Moderate,Low,3
PAT-2000-114,2022,iot,4,USA,hardware,False,0,No,5.85,4392.79,20,10,3,Medium,Moderate,High,4
PAT-2000-115,2021,ai_ml,2,USA,healthtech,True,0,Yes,112.84,2006.72,33,9,2,Medium,Breakthrough,High,3
PAT-2000-116,2024,cybersecurity,4,DEU,telecom,False,0,No,2.07,2178.08,13,10,2,Medium,Significant,Low,1
PAT-2000-117,2023,ai_ml,2,KOR,software,False,0,Yes,116.57,1458.47,30,10,3,Medium,Marginal,Very Low,2
PAT-2000-118,2023,ai_ml,1,DEU,software,True,1,No,8.34,6614.26,37,39,3,Low,Significant,Medium,5
PAT-2000-119,2022,ai_ml,3,GBR,hardware,False,0,Yes,35.03,1551.52,46,7,2,Medium,Moderate,Medium,1
PAT-2000-120,2023,ai_ml,1,CHN,healthtech,False,1,Yes,117.7,2597.63,50,42,3,High,Significant,Very High,5
PAT-2000-121,2022,ai_ml,1,CHN,healthtech,False,1,Yes,220.89,9193.36,38,49,2,Medium,Moderate,Medium,2
PAT-2000-122,2023,ai_ml,3,DEU,software,False,1,Yes,500.0,6710.48,45,43,3,Medium,Moderate,Medium,1
PAT-2000-123,2020,ai_ml,2,CHN,software,False,1,Yes,87.89,8540.0,43,39,2,Medium,Breakthrough,Very High,2
PAT-2000-124,2022,ai_ml,2,USA,software,False,1,Yes,107.34,1215.82,24,34,2,Medium,Marginal,Very Low,0
PAT-2000-125,2020,blockchain,3,USA,fintech,True,1,Yes,166.81,2379.81,9,21,1,Medium,Moderate,Low,0
PAT-2000-126,2022,blockchain,2,JPN,fintech,False,1,Yes,55.5,2901.56,7,21,2,Low,Marginal,Low,1
PAT-2000-127,2021,ai_ml,3,USA,software,False,1,No,28.61,3536.62,34,49,3,High,Moderate,Low,6
PAT-2000-128,2020,ai_ml,1,USA,software,True,1,No,22.55,4539.04,25,37,3,Medium,Breakthrough,Medium,3
PAT-2000-129,2020,ai_ml,3,CHN,software,False,1,No,49.19,5174.17,48,40,3,Low,Breakthrough,Medium,5
PAT-2000-130,2022,ai_ml,1,GBR,software,True,1,Yes,187.24,6310.26,15,34,2,Medium,Breakthrough,Very High,2
PAT-2000-131,2021,ai_ml,1,GBR,software,True,0,No,32.81,3761.87,30,13,2,Medium,Significant,High,1
PAT-2000-132,2024,quantum,2,CHN,hardware,False,1,Yes,154.72,4593.55,42,31,3,High,Moderate,Medium,3
PAT-2000-133,2022,cybersecurity,1,GBR,software,True,1,No,4.14,4585.81,17,19,1,Medium,Significant,Medium,7
PAT-2000-134,2021,cybersecurity,3,DEU,telecom,False,0,Yes,20.79,1763.95,29,12,2,Low,Marginal,Low,3
PAT-2000-135,2022,iot,1,USA,hardware,True,1,Yes,44.03,9393.55,21,26,1,Medium,Significant,High,3
PAT-2000-136,2020,iot,3,CHN,hardware,True,0,No,18.51,2021.4,25,8,1,Low,Marginal,Very Low,0
PAT-2000-137,2024,ai_ml,3,USA,software,False,1,Yes,71.21,5747.92,21,43,2,Medium,Moderate,Medium,1
PAT-2000-138,2022,quantum,1,GBR,hardware,True,1,No,10.07,7045.11,26,45,3,Medium,Significant,Very High,6
PAT-2000-139,2023,quantum,1,GBR,hardware,True,0,No,197.45,4319.86,30,6,3,Medium,Breakthrough,Medium,3
PAT-2000-140,2020,quantum,1,USA,hardware,True,1,No,15.41,6739.58,27,42,3,Medium,Breakthrough,Very High,4
PAT-2000-141,2022,cybersecurity,2,USA,software,True,1,Yes,52.04,4366.14,14,27,2,Medium,Significant,High,5
PAT-2000-142,2022,blockchain,2,CHN,fintech,False,1,Yes,122.4,4238.19,6,29,3,High,Marginal,Very Low,7
PAT-2000-143,2024,quantum,1,USA,hardware,True,1,No,8.72,8935.95,37,22,3,Low,Significant,High,6
PAT-2000-144,2022,quantum,1,CHN,cybersecurity,False,1,No,4.9,5946.35,41,31,2,Medium,Breakthrough,Very High,3
PAT-2000-145,2022,ai_ml,3,USA,software,True,1,Yes,243.03,9629.05,30,25,2,Medium,Moderate,Medium,3
PAT-2000-146,2021,cybersecurity,3,RUS,software,False,1,No,36.07,6349.21,29,19,2,High,Significant,Medium,3
PAT-2000-147,2021,ai_ml,1,CHN,software,False,1,Yes,137.28,2981.56,18,36,3,Medium,Significant,Medium,7
PAT-2000-148,2022,cybersecurity,2,KOR,fintech,False,0,Yes,64.69,3629.75,19,18,3,High,Moderate,Medium,4
PAT-2000-149,2022,quantum,1,CHN,hardware,False,1,No,26.78,9970.84,21,33,2,Low,Breakthrough,Medium,1
PAT-2000-150,2020,ai_ml,2,CHN,software,True,1,Yes,139.18,8675.65,50,36,3,High,Moderate,Medium,4
PAT-2000-151,2023,iot,4,GBR,telecom,False,0,No,20.22,7366.23,9,5,2,Medium,Marginal,Very Low,0
PAT-2000-152,2024,ai_ml,2,CHN,software,True,1,No,17.53,4601.97,42,33,2,Medium,Significant,Medium,3
PAT-2000-153,2020,quantum,1,DEU,hardware,True,1,Yes,30.45,7055.22,50,37,2,Medium,Significant,Medium,3
PAT-2000-154,2022,quantum,3,IND,hardware,False,0,No,157.3,3054.19,46,13,2,Medium,Significant,Low,1
PAT-2000-155,2020,iot,2,DEU,hardware,True,1,Yes,500.0,5538.9,16,23,2,High,Significant,Medium,2
PAT-2000-156,2023,cybersecurity,1,USA,software,False,1,Yes,249.22,1304.84,29,17,2,Medium,Moderate,Low,1
PAT-2000-157,2021,ai_ml,3,USA,fintech,False,1,Yes,21.9,8535.3,42,54,2,Medium,Moderate,Medium,1
PAT-2000-158,2023,ai_ml,1,DEU,software,True,1,No,43.09,8353.97,48,42,3,Low,Moderate,Medium,1
PAT-2000-159,2023,blockchain,3,GBR,fintech,True,1,Yes,197.07,5000.91,9,19,1,Medium,Marginal,Low,2
PAT-2000-160,2023,ai_ml,1,JPN,hardware,True,1,No,52.17,8915.31,35,43,3,Medium,Moderate,Medium,2
PAT-2000-161,2020,blockchain,3,GBR,software,False,1,No,29.41,5610.82,11,22,1,Medium,Marginal,Very Low,0
PAT-2000-162,2024,ai_ml,1,JPN,software,True,1,No,14.73,1920.11,21,37,2,Low,Moderate,Low,3
PAT-2000-163,2021,blockchain,3,USA,fintech,True,1,No,46.81,1060.78,11,25,3,Medium,Moderate,Low,2
PAT-2000-164,2020,blockchain,3,IND,software,False,1,Yes,263.43,7368.48,17,27,1,High,Marginal,Low,2
PAT-2000-165,2022,cybersecurity,4,USA,software,False,1,No,13.15,689.26,15,24,2,Medium,Significant,Medium,1
PAT-2000-166,2022,ai_ml,1,CHN,software,False,1,No,43.24,1697.08,30,48,3,Medium,Moderate,Medium,1
PAT-2000-167,2023,cybersecurity,4,DEU,software,False,0,Yes,40.02,4971.08,16,11,1,Medium,Moderate,Low,2
PAT-2000-168,2023,blockchain,3,GBR,fintech,True,1,Yes,91.2,6424.91,17,23,3,High,Marginal,Very Low,2
PAT-2000-169,2021,ai_ml,1,CHN,software,False,1,No,2.78,3903.56,18,42,3,Low,Moderate,High,1
PAT-2000-170,2024,iot,1,GBR,hardware,True,1,No,14.4,633.75,15,26,1,Low,Moderate,Low,3
PAT-2000-171,2021,blockchain,3,IND,software,False,0,Yes,500.0,943.52,18,15,3,High,Marginal,Very Low,4
PAT-2000-172,2022,ai_ml,1,USA,software,True,0,Yes,116.73,1898.42,32,10,3,Medium,Significant,Medium,4
PAT-2000-173,2021,iot,2,USA,software,True,1,Yes,66.45,879.34,15,25,2,Low,Moderate,Medium,0
PAT-2000-174,2024,ai_ml,1,USA,software,False,0,No,13.51,660.01,41,10,3,Medium,Breakthrough,Medium,4
PAT-2000-175,2021,blockchain,3,RUS,software,True,1,No,12.37,2406.19,18,25,2,Low,Moderate,High,0
PAT-2000-176,2020,iot,3,DEU,telecom,False,0,No,66.17,1850.9,27,12,1,High,Significant,Medium,6
PAT-2000-177,2022,blockchain,2,CHN,software,True,1,Yes,81.79,3595.31,6,27,1,Medium,Marginal,Very Low,0
PAT-2000-178,2024,quantum,1,DEU,hardware,True,1,No,116.21,3146.54,27,34,2,Medium,Significant,Very High,1
PAT-2000-179,2024,ai_ml,2,USA,healthtech,True,1,Yes,194.69,2525.82,20,39,2,Medium,Moderate,Medium,0
PAT-2000-180,2023,cybersecurity,4,USA,software,False,0,No,10.0,4064.04,16,8,1,Medium,Marginal,Low,5
PAT-2000-181,2024,quantum,1,USA,cybersecurity,False,1,Yes,220.91,9239.2,19,42,3,Medium,Significant,High,3
PAT-2000-182,2024,cybersecurity,2,CHN,software,False,1,No,181.31,5454.47,19,31,1,Low,Moderate,Medium,3
PAT-2000-183,2022,quantum,3,USA,software,False,1,Yes,232.03,9887.66,24,34,2,Medium,Marginal,Very Low,2
PAT-2000-184,2021,ai_ml,1,USA,healthtech,True,0,Yes,116.38,6050.41,37,24,3,Low,Moderate,Medium,3
PAT-2000-185,2023,iot,1,DEU,hardware,False,1,No,17.18,8330.59,27,21,2,Medium,Moderate,Low,3
PAT-2000-186,2023,ai_ml,2,JPN,healthtech,False,1,Yes,269.74,3065.84,21,30,3,Medium,Moderate,Medium,3
PAT-2000-187,2022,quantum,1,GBR,cybersecurity,False,0,Yes,274.76,7189.31,26,10,2,Medium,Moderate,Medium,3
PAT-2000-188,2020,iot,2,USA,software,True,0,Yes,77.41,1481.68,28,7,1,Medium,Breakthrough,Low,2
PAT-2000-189,2023,ai_ml,1,DEU,healthtech,True,1,Yes,490.29,2214.58,45,42,3,Medium,Significant,High,5
PAT-2000-190,2021,cybersecurity,1,DEU,software,False,1,No,9.92,9390.9,14,21,2,Medium,Significant,Medium,3
PAT-2000-191,2024,ai_ml,1,JPN,software,True,1,No,129.76,1271.16,25,42,3,Low,Moderate,Medium,1
PAT-2000-192,2021,iot,2,KOR,hardware,False,0,Yes,131.93,9220.9,9,6,2,High,Moderate,Low,1
PAT-2000-193,2020,iot,4,USA,hardware,False,1,Yes,108.68,1045.21,10,24,1,Medium,Moderate,Low,1
PAT-2000-194,2023,ai_ml,1,DEU,healthtech,True,1,Yes,500.0,1922.95,33,42,2,Medium,Significant,Medium,1
PAT-2000-195,2021,iot,4,GBR,telecom,False,1,No,22.29,3912.97,16,29,3,Low,Significant,Very High,4
PAT-2000-196,2021,quantum,2,CHN,cybersecurity,False,1,No,43.01,1219.86,15,48,3,Medium,Moderate,Low,4
PAT-2000-197,2022,ai_ml,2,KOR,software,True,1,Yes,186.3,1796.41,24,43,3,High,Moderate,Medium,2
PAT-2000-198,2024,iot,2,JPN,hardware,False,1,Yes,500.0,8744.32,28,19,2,Medium,Moderate,Low,1
PAT-2000-199,2021,ai_ml,1,KOR,software,False,1,Yes,190.89,1157.16,29,36,2,Medium,Significant,Medium,4
PAT-2000-200,2021,iot,1,CHN,hardware,False,1,No,6.68,1286.44,21,21,3,Low,Significant,Medium,5
PAT-2000-201,2023,ai_ml,2,DEU,hardware,False,1,No,9.79,9495.82,44,36,3,Low,Moderate,High,3
PAT-2000-202,2024,cybersecurity,3,GBR,software,False,1,Yes,26.46,4620.71,10,31,2,Medium,Marginal,Very Low,3
PAT-2000-203,2022,cybersecurity,4,USA,software,False,0,No,19.31,3224.83,25,19,2,Medium,Significant,Medium,3
PAT-2000-204,2020,ai_ml,3,RUS,software,False,1,Yes,88.31,8890.14,47,39,2,Low,Marginal,Very Low,1
PAT-2000-205,2020,ai_ml,2,CHN,software,False,1,Yes,451.97,5424.56,49,37,2,Medium,Moderate,High,1
PAT-2000-206,2021,iot,2,USA,telecom,True,1,Yes,7.06,6727.29,26,20,3,Low,Significant,High,4
PAT-2000-207,2020,iot,2,CHN,hardware,False,1,Yes,83.2,8228.25,17,23,1,Low,Marginal,Low,1
PAT-2000-208,2023,blockchain,4,IND,software,False,0,No,5.18,4932.4,6,12,2,Medium,Moderate,Medium,1
PAT-2000-209,2020,ai_ml,1,DEU,fintech,True,1,Yes,352.71,3525.9,39,42,3,High,Significant,High,6
PAT-2000-210,2022,ai_ml,1,USA,software,True,0,No,43.78,3182.77,19,21,3,Medium,Moderate,High,2
PAT-2000-211,2023,cybersecurity,2,CHN,software,True,1,No,90.74,1687.93,23,20,3,High,Moderate,Low,3
PAT-2000-212,2022,blockchain,2,CHN,fintech,False,1,Yes,10.78,1046.18,6,24,1,High,Moderate,Medium,4
PAT-2000-213,2021,cybersecurity,2,JPN,software,False,0,Yes,63.46,5833.58,19,9,3,Low,Moderate,Medium,3
PAT-2000-214,2023,blockchain,2,USA,fintech,True,1,No,23.6,9945.64,8,27,1,Medium,Marginal,Very Low,0
PAT-2000-215,2023,cybersecurity,2,USA,software,False,0,Yes,238.99,3118.9,9,11,3,Low,Moderate,High,2
PAT-2000-216,2023,ai_ml,3,CHN,software,True,1,No,19.29,8851.75,20,45,2,Medium,Significant,High,4
PAT-2000-217,2020,ai_ml,1,CHN,fintech,False,1,Yes,61.57,7210.34,41,40,2,Low,Moderate,Medium,0
PAT-2000-218,2020,cybersecurity,4,USA,software,False,0,Yes,109.82,7345.42,12,9,1,Medium,Significant,Low,5
PAT-2000-219,2024,cybersecurity,2,KOR,telecom,False,1,Yes,96.85,9798.51,20,18,2,Low,Moderate,Medium,2
PAT-2000-220,2022,ai_ml,1,DEU,software,False,1,No,44.85,1066.29,19,43,2,High,Breakthrough,Very High,6
PAT-2000-221,2021,blockchain,3,CHN,fintech,True,0,No,93.78,756.2,15,9,2,Medium,Marginal,Very Low,2
