trademark_id,country_registration,mktu_class,industry,applicant_type,trademark_type,representative_firm,priority_claimed,examination_duration_days,mktu_classes_count,company_age_years,previous_applications,trademark_value_k,examination_count,similarity_percent,maintenance_fee_usd,use_before_registration_months,opposition_count
TM20200059,Россия,Класс 01,Консалтинг,Индивидуальный предприниматель,Аббревиатура,ЮрФирма_AO,True,80.0,4,1.5,1,5.83,2,35.1,801.8,47.1,1
TM20200060,Кыргызстан,Класс 03,Полиграфия,ООО,Голографический,Не указано,True,90.0,1,7.6,17,4.77,3,11.5,1115.79,63.9,0
TM20200061,Казахстан,Класс 03,Строительство,Творческий коллектив,Словесный,Не указано,False,115.0,5,10.5,3,5.97,2,25.3,1261.45,27.5,0
TM20200062,Беларусь,Класс 05,Энергетика,ПАО,Словесный,ЮрФирма_AF,False,42.0,6,9.3,2,2.25,2,,984.41,24.0,0
TM20200063,Великобритания,Класс 02,Табачные изделия,Индивидуальный предприниматель,Словесный,ЮрФирма_AQ,True,55.0,3,7.8,4,3.34,4,2.9,1207.95,93.2,0
TM20200064,Армения,Класс 40,Здравоохранение,ЗАО,Изобразительный,Самостоятельно,False,61.0,2,3.7,1,6.9,1,34.3,1138.36,98.4,0
TM20200065,Беларусь,Класс 12,СМИ,Иностранная компания,Комбинированный,Самостоятельно,True,81.0,6,0.3,1,12.15,3,14.7,631.45,21.2,0
TM20200066,Беларусь,Класс 20,Розничная торговля,Общественная организация,Изобразительный,ЮрФирма_BO,True,65.0,3,3.4,3,6.54,3,55.5,1233.19,72.3,1
TM20200067,Россия,Класс 06,Консалтинг,Муниципальное предприятие,Объемный,ЮрФирма_AT,False,49.0,3,1.7,2,17.45,2,11.9,1119.74,56.3,1
TM20200068,Россия,Класс 05,Бытовая техника,Индивидуальный предприниматель,Изобразительный,Не указано,True,58.0,3,0.4,3,6.9,3,42.7,944.96,4.2,1
TM20200069,Казахстан,Класс 11,Косметика,ЗАО,Словесный,ЮрФирма_AR,True,73.0,5,6.6,2,6.54,1,14.0,1349.68,15.9,0
TM20200070,Россия,Класс 05,Недвижимость,Индивидуальный предприниматель,Словесный,ЮрФирма_BA,True,60.0,7,2.6,6,7.82,2,21.3,982.52,38.3,1
TM20200071,Казахстан,Класс 06,СМИ,Фермерское хозяйство,Буквы,ЮрФирма_BG,True,109.0,3,2.7,1,1.1,4,47.0,1195.25,70.8,0
TM20200072,Нидерланды,Класс 09,Телекоммуникации,Индивидуальный предприниматель,Изобразительный,ЮрФирма_AN,True,77.0,2,12.7,1,9.73,3,49.0,597.21,85.6,0
TM20200073,Россия,Класс 12,Энергетика,Иностранная компания,Изобразительный,Самостоятельно,True,49.0,2,4.5,2,122.04,4,31.3,1399.44,57.5,1
TM20200074,Россия,Класс 44,Ювелирные изделия,ПАО,Словесный,ЮрФирма_BI,True,67.0,3,3.9,4,18.94,3,7.1,1457.01,2.9,2
TM20200075,Россия,Класс 04,Химическая промышленность,Иностранная компания,Цифры,Самостоятельно,False,83.0,2,0.8,10,37.17,1,15.1,631.99,80.3,1
TM20200076,Россия,Класс 10,Здравоохранение,ПАО,Словесный,ЮрФирма_BK,True,75.0,1,2.9,1,28.89,4,12.5,654.32,,0
TM20200077,Кыргызстан,Класс 02,Мебель,Концерн,Комбинированный,ЮрФирма_AL,False,59.0,4,3.0,7,10.85,2,,1055.82,58.7,0
TM20200078,Беларусь,Класс 06,Сельское хозяйство,Иностранная компания,Словесный,Не указано,False,64.0,3,4.8,12,161.94,5,11.3,1501.59,82.7,0
TM20200079,Испания,Класс 26,Сельское хозяйство,Индивидуальный предприниматель,Словесный,Самостоятельно,True,67.0,1,3.0,3,6.87,3,61.0,1326.48,39.8,1
TM20200080,Кыргызстан,Класс 03,Недвижимость,АО,Звуковой,ЮрФирма_BG,True,93.0,1,11.2,2,28.41,3,34.9,1006.94,73.2,0
TM20200081,Казахстан,Класс 17,Электроника,ПАО,Комбинированный,ЮрФирма_AB,True,84.0,5,,3,6.0,2,,1024.42,94.2,0
TM20200082,Бразилия,Класс 08,Одежда и обувь,ООО,Объемный,Самостоятельно,False,41.0,5,10.1,3,11.9,2,36.3,751.4,,0
TM20200083,Россия,Класс 01,Консалтинг,Корпорация,Словесный,Самостоятельно,False,107.0,5,2.7,6,62.13,1,2.4,1201.54,86.3,1
TM20200084,Россия,Класс 41,Развлечения,ООО,Аббревиатура,Самостоятельно,True,118.0,4,3.7,9,3.29,3,,703.78,83.8,2
TM20200085,Россия,Класс 08,Энергетика,Общественная организация,Комбинированный,Самостоятельно,True,61.0,3,1.5,7,30.8,2,27.5,1424.21,55.5,1
TM20200086,Германия,Класс 31,Спорт,Индивидуальный предприниматель,Слоган,,True,80.0,3,3.6,4,6.82,1,41.8,1125.86,107.9,1
TM20200087,Казахстан,Класс 08,Металлургия,Корпорация,Словесный,Не указано,False,145.0,5,12.8,2,18.06,1,7.7,572.51,0.4,0
TM20200088,Россия,Класс 41,Ювелирные изделия,Индивидуальный предприниматель,Изобразительный,ЮрФирма_AV,True,69.0,3,14.7,1,4.58,2,28.6,1102.13,96.1,0
TM20200089,Беларусь,Класс 05,Строительство,ЗАО,Изобразительный,ЮрФирма_BA,True,73.0,2,0.5,5,16.92,5,27.0,996.99,89.1,0
TM20200090,Россия,Класс 08,Развлечения,ООО,Световой,Самостоятельно,False,86.0,2,7.8,0,32.72,1,14.5,585.44,16.9,1
TM20200091,Кыргызстан,Класс 29,Косметика,Иностранная компания,Световой,ЮрФирма_AA,False,102.0,4,1.6,0,24.8,2,21.7,867.27,40.0,0
TM20200092,Казахстан,Класс 06,Одежда и обувь,ООО,Изобразительный,ЮрФирма_BS,True,37.0,5,2.4,0,12.8,3,34.8,1245.54,37.8,0
TM20200093,Казахстан,Класс 07,Рестораны,Совместное предприятие,Словесный,ЮрФирма_AT,True,68.0,5,2.4,20,6.01,2,28.9,1136.15,112.8,0
TM20200094,Россия,Класс 45,Деревообработка,ПАО,Словесный,Самостоятельно,True,102.0,2,0.6,2,1.37,2,23.9,1015.0,71.3,1
TM20200095,Армения,Класс 15,Развлечения,Культурное учреждение,Словесный,Самостоятельно,False,87.0,3,0.1,0,15.78,2,19.0,954.14,,0
TM20200096,Казахстан,Класс 24,Напитки,Концерн,Цветовой,Самостоятельно,True,77.0,1,,7,3.89,1,26.1,668.06,101.2,0
TM20200097,Россия,Класс 21,Консалтинг,Иностранная компания,Словесный,ЮрФирма_BQ,True,73.0,1,0.2,10,121.59,1,26.9,930.46,77.0,1
TM20200098,Россия,Класс 34,Одежда и обувь,Общественная организация,Словесный,ЮрФирма_BF,True,101.0,1,0.4,11,13.93,3,43.3,1125.42,7.4,1
TM20200099,Саудовская Аравия,Класс 36,Электроника,ООО,Изобразительный,Не указано,False,83.0,3,2.8,2,6.29,3,20.8,890.88,80.4,0
TM20200100,Украина,Класс 16,Консалтинг,Иностранная компания,Словесный,Самостоятельно,False,115.0,3,6.8,5,88.19,2,53.9,16455.624368117686,32.2,1
TM20200101,Кыргызстан,Класс 05,Машиностроение,АО,Надпись,ЮрФирма_BX,False,65.0,2,2.7,2,17.71,5,10.2,690.38,76.7,0
TM20200102,Россия,Класс 01,Реклама,Концерн,Изобразительный,ЮрФирма_AL,False,32.0,4,0.1,12,2.29,1,27.5,1031.94,88.5,3
TM20200103,Саудовская Аравия,Класс 19,Энергетика,Индивидуальный предприниматель,Этикетка,ЮрФирма_AV,False,97.0,2,0.1,2,11.51,3,27.2,1069.95,83.5,0
TM20200104,Италия,Класс 34,Развлечения,АО,Объемный,ЮрФирма_BK,False,63.0,4,1.1,1,13.19,2,10.6,1291.7,118.0,0
TM20200105,США,Класс 09,ИТ-услуги,Иностранная компания,Комбинированный,Самостоятельно,True,70.0,3,1.6,0,155.03,2,35.9,1181.44,77.8,2
TM20200106,Казахстан,Класс 03,Финансовые услуги,ЗАО,Изобразительный,,True,75.0,2,0.8,1,31.78,2,34.5,762.74,5.8,0
TM20200107,Россия,Класс 05,Реклама,ООО,Объемный,Не указано,False,58.0,1,0.7,3,10.66,1,49.0,1291.82,26.8,0
TM20200108,Россия,Класс 12,Деревообработка,ЗАО,Объемный,ЮрФирма_BQ,False,45.0,2,0.8,4,53.21,4,29.1,869.46,,0
TM20200109,Украина,Класс 34,Страхование,Фонд,Словесный,ЮрФирма_BT,False,94.0,4,6.3,3,29.06,3,,809.9,92.8,0
TM20200110,Казахстан,Класс 03,Страхование,ООО,3D,Самостоятельно,True,30.0,3,1.5,6,39.07,1,20.2,912.33,78.9,0
TM20200111,Россия,Класс 19,ИТ-услуги,АО,Изобразительный,ЮрФирма_BG,False,131.0,2,2.9,0,500.0,3,48.1,1015.32,45.0,2
TM20200112,Россия,Класс 29,Финансовые услуги,Самозанятый,Изобразительный,Самостоятельно,True,71.0,4,10.6,2,22.89,2,36.8,1371.38,5.3,3
TM20200113,Беларусь,Класс 41,Деревообработка,Адвокатское образование,Изобразительный,Самостоятельно,True,32.0,3,0.7,9,7.39,2,35.2,1143.29,59.6,0
TM20200114,Россия,Класс 02,Пищевая промышленность,Индивидуальный предприниматель,Объемный,ЮрФирма_AX,True,99.0,2,1.4,8,48.89,2,22.9,1344.03,,2
TM20200115,Нидерланды,Класс 40,Логистика,ПАО,Изобразительный,ЮрФирма_BB,True,37.0,1,6.1,13,3.78,1,21.4,1232.06,54.0,0
TM20200116,Франция,Класс 18,Реклама,Индивидуальный предприниматель,Изобразительный,ЮрФирма_BJ,True,58.0,2,2.9,5,38.78,1,10.3,1344.14,108.3,0
TM20200117,США,Класс 29,Образование,Образовательное учреждение,Словесный,Самостоятельно,True,119.0,4,1.9,3,8.04,2,33.2,948.26,105.3,2
TM20200118,Казахстан,Класс 01,Транспорт,АО,Изобразительный,ЮрФирма_BB,True,81.0,1,3.6,10,3.06,3,42.5,207.45,112.1,0
TM20200119,Армения,Класс 12,Телекоммуникации,АО,Словесный,ЮрФирма_AU,False,77.0,3,4.4,16,14.87,3,28.1,1490.85,32.3,0
TM20200120,Беларусь,Класс 20,Табачные изделия,ООО,Цветовой,ЮрФирма_AO,False,80.0,5,6.8,3,8.52,3,44.0,18204.58499084183,36.9,0
TM20200121,Армения,Класс 05,Бытовая техника,ПАО,Изобразительный,Не указано,False,51.0,3,0.1,10,15.18,3,11.8,1343.8,78.9,0
TM20200122,Россия,Класс 08,Фармацевтика,Индивидуальный предприниматель,Цветовая гамма,Не указано,False,30.0,1,2.1,3,500.0,4,56.6,263.86,72.1,5
TM20200123,Казахстан,Класс 15,Одежда и обувь,Совместное предприятие,Объемный,Не указано,False,82.0,3,0.1,2,3.6,3,2.2,1430.11,81.8,0
TM20200124,Россия,Класс 15,Ювелирные изделия,ЗАО,Световой,Не указано,False,78.0,7,2.7,4,31.57,2,23.2,13698.995969041462,83.8,0
TM20200125,Казахстан,Класс 01,Телекоммуникации,ПАО,Форма упаковки,ЮрФирма_AN,True,67.0,6,2.7,8,16.69,2,10.4,1599.58,55.1,0
TM20200126,Россия,Класс 09,Пищевая промышленность,Религиозная организация,Словесный,ЮрФирма_AJ,True,108.0,4,0.9,1,18.12,1,47.7,648.69,69.2,1
TM20200127,Россия,Класс 04,Консалтинг,Индивидуальный предприниматель,Комбинированный,ЮрФирма_BX,False,90.0,3,5.6,0,2.18,3,14.7,394.01,45.5,2
TM20200128,Россия,Класс 40,Косметика,Индивидуальный предприниматель,Словесный,Самостоятельно,True,47.0,4,17.7,5,13.78,4,8.3,710.4,56.7,1
TM20200129,Беларусь,Класс 44,Розничная торговля,АО,Словесный,Самостоятельно,False,61.0,3,2.2,8,22.29,4,2.9,1029.23,24.4,0
TM20200130,Россия,Класс 05,Полиграфия,Филиал иностранной компании,Изобразительный,ЮрФирма_AW,True,57.0,6,4.0,4,46.26,2,12.2,1200.64,21.8,0
TM20200131,Узбекистан,Класс 03,Косметика,Индивидуальный предприниматель,Объемный,Не указано,True,52.0,5,7.4,15,2.63,1,17.5,839.93,33.1,0
TM20200132,Беларусь,Класс 04,Строительство,Совместное предприятие,Голографический,ЮрФирма_BE,True,103.0,3,0.4,2,7.12,4,9.4,1230.06,54.2,0
TM20200133,Россия,Класс 10,Металлургия,ЗАО,Словесный,Самостоятельно,False,61.0,5,0.1,0,84.28,3,9.2,893.54,,1
TM20200134,Беларусь,Класс 37,Здравоохранение,ПАО,Световой,Не указано,True,90.0,7,2.6,7,1.74,2,1.7,955.65,44.8,0
TM20200135,Россия,Класс 11,Бытовая техника,ПАО,Словесный,Самостоятельно,True,83.0,5,2.7,1,23.41,1,39.7,5615.679213843231,24.5,0
TM20200136,ОАЭ,Класс 01,Химическая промышленность,Индивидуальный предприниматель,Словесный,,False,47.0,3,0.6,4,11.64,3,30.1,7911.118811475191,31.5,0
TM20200137,Казахстан,Класс 01,Спорт,ООО,Словесный,Самостоятельно,True,103.0,4,0.3,9,5.47,2,13.5,889.97,71.8,0
TM20200138,Испания,Класс 04,Страхование,Корпорация,Комбинированный,Самостоятельно,True,69.0,1,2.2,3,42.99,3,23.2,975.05,26.6,0
TM20200139,Россия,Класс 35,Напитки,АО,Изобразительный,Не указано,False,61.0,1,6.3,5,71.63,3,34.8,830.63,42.1,3
TM20200140,Казахстан,Класс 20,Пищевая промышленность,ПАО,Словесный,ЮрФирма_BN,True,42.0,4,0.7,8,18.87,2,8.8,815.81,117.7,0
TM20200141,Казахстан,Класс 16,Металлургия,Медицинское учреждение,Словесный,ЮрФирма_BK,False,53.0,6,2.5,2,8.31,2,28.3,1063.13,72.2,0
TM20200142,Таджикистан,Класс 06,Телекоммуникации,Индивидуальный предприниматель,Комбинированный,Не указано,True,49.0,6,12.8,7,5.01,2,29.8,496.21,77.7,0
TM20200143,Беларусь,Класс 41,Одежда и обувь,АО,Позиционный,,False,39.0,3,10.2,0,19.34,3,9.1,1321.84,95.2,0
TM20200144,Казахстан,Класс 06,Недвижимость,АО,Словесный,Самостоятельно,False,81.0,5,2.1,13,7.31,3,56.9,1428.32,85.6,2
TM20200145,Россия,Класс 34,СМИ,Индивидуальный предприниматель,Звуковой,ЮрФирма_BP,False,50.0,1,,2,4.57,1,29.2,912.62,6.9,0
TM20200146,Россия,Класс 38,Пищевая промышленность,Медицинское учреждение,Комбинированный,ЮрФирма_AU,False,72.0,3,3.2,3,7.86,3,,1137.18,13.4,2
TM20200147,Беларусь,Класс 10,Табачные изделия,Культурное учреждение,Изобразительный,ЮрФирма_BT,False,100.0,3,2.6,7,13.3,4,36.2,1213.51,51.3,0
TM20200148,Казахстан,Класс 38,Оптовая торговля,ООО,Словесный,Не указано,True,87.0,4,1.0,1,8.09,3,28.8,1331.8,11.0,0
TM20200149,Россия,Класс 05,Спорт,Медицинское учреждение,Символ,ЮрФирма_BD,True,76.0,6,0.3,0,39.27,2,12.1,997.37,17.3,0
TM20200150,Мексика,Класс 22,Строительство,Индивидуальный предприниматель,Изобразительный,ЮрФирма_BB,True,33.0,5,5.5,5,17.93,3,26.8,1287.02,105.7,0
TM20200151,Чехия,Класс 02,Полиграфия,Самозанятый,Изобразительный,ЮрФирма_AN,True,39.0,3,9.6,6,7.34,2,14.2,1202.3,118.0,0
TM20200152,Россия,Класс 10,Напитки,Общественная организация,Текстильный,ЮрФирма_BW,True,56.0,4,3.5,1,17.67,1,3.0,823.99,90.4,1
TM20200153,Беларусь,Класс 04,Финансовые услуги,ООО,Цветовой,ЮрФирма_BC,False,78.0,4,1.1,11,7.28,2,21.6,726.93,7.9,0
TM20200154,Россия,Класс 01,Страхование,ПАО,Звуковой,Самостоятельно,True,49.0,2,9.9,0,8.07,3,28.0,680.81,12.8,1
TM20200155,Кыргызстан,Класс 01,Финансовые услуги,Совместное предприятие,Голографический,ЮрФирма_AN,True,49.0,4,3.0,6,9.3,2,11.0,557.18,,0
TM20200156,Россия,Класс 06,Строительство,ООО,Словесный,ЮрФирма_AY,True,98.0,2,0.0,2,6.31,4,12.8,899.62,108.9,1
TM20200157,Кыргызстан,Класс 17,Автомобильная,АО,Световой,ЮрФирма_AG,True,64.0,4,5.1,4,22.81,3,17.7,12542.09670280934,89.0,0
TM20200158,Германия,Класс 09,Телекоммуникации,Иностранная компания,Изобразительный,ЮрФирма_AE,True,39.0,2,0.2,3,184.17,2,18.4,772.75,,3
TM20200159,Великобритания,Класс 05,Химическая промышленность,Индивидуальный предприниматель,Рельефный,Не указано,False,78.0,3,1.6,5,4.24,3,47.0,814.05,19.0,0
TM20200160,Россия,Класс 45,Одежда и обувь,Индивидуальный предприниматель,Изобразительный,Не указано,True,44.0,3,1.1,8,35.96,5,,671.61,79.1,1
TM20200161,Азербайджан,Класс 41,Здравоохранение,ООО,Словесный,Самостоятельно,False,78.0,1,3.6,4,13.77,3,8.8,1255.99,110.8,0
TM20200162,Россия,Класс 02,Розничная торговля,Концерн,Изобразительный,Не указано,True,61.0,3,2.2,8,1.68,3,39.1,1065.24,33.8,1
TM20200163,Россия,Класс 08,Образование,АО,Световой,ЮрФирма_AI,True,70.0,2,1.3,8,10.87,2,60.8,1148.86,89.1,2
TM20200164,Беларусь,Класс 21,Косметика,ЗАО,Комбинированный,Не указано,True,48.0,4,0.9,6,15.04,1,58.9,895.36,8.1,1
TM20200165,Казахстан,Класс 27,Консалтинг,Индивидуальный предприниматель,Световой,ЮрФирма_BU,True,59.0,2,3.4,6,5.2,2,26.3,900.72,71.2,0
TM20200166,Мексика,Класс 07,СМИ,Индивидуальный предприниматель,Словесный,Самостоятельно,True,57.0,7,2.2,0,61.94,2,18.0,1003.97,96.5,0
TM20200167,Индия,Класс 28,Металлургия,Иностранная компания,Словесный,Самостоятельно,True,50.0,4,10.8,7,25.2,2,10.1,585.79,25.4,0
TM20200168,Россия,Класс 02,Полиграфия,Индивидуальный предприниматель,Комбинированный,ЮрФирма_BI,False,60.0,2,3.6,10,14.14,1,46.5,1002.27,104.9,0
TM20200169,ОАЭ,Класс 06,Одежда и обувь,Холдинг,Изобразительный,ЮрФирма_BA,False,34.0,3,1.1,2,30.8,2,20.9,911.28,37.4,0
